InstitutionType,InstructorID_Pre,InstructorID_Post,StudentID,Q1FUS,Q2FUS,Q3FUS_Yes,Q3FUS_No,Q4FUS_A,Q4FUS_B,Q4FUS_C,Q4FUS_D,Q4FUS_F,Q5FUS_NeverIntended,Q5FUS_Time,Q5FUS_Grade,Q5FUS_Understand,Q5FUS_Major,Q5FUS_Experience,Q5FUS_OtherCourses,Q6FUS_1,Q6FUS_2,Q6FUS_3,Q6FUS_4,Q7FUS
2,34,34,10872, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10873, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10874, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10877, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10879,12,A, ,No, , , , , ,I never intended to take Calculus II., , , , , ,I have too many other courses I need to complete., , , , ,The emphasis on conceptualization as opposed to calculation was both more enjoyable and tutorial.
2,34,34,10881, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10883, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10886, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10887, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10888, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10890,11,B, ,No, , , , , ,I never intended to take Calculus II., , , , , , , , , , ,The teacher was horrible. He didn't know how to explain anything on a level that was comprehensible to someone that didn't have a PhD in Applied Math. I never paid attention in lecture because I would only become more confused trying to make sense of what my professor attempted to teach. The only reason I didn't fail the class was because I took Calc AP in high school and learned the concepts in my high school class.
2,34,34,10891,1,A, ,No, , , , , ,I never intended to take Calculus II., , , , , ,I have too many other courses I need to complete., , , , , 
2,34,34,10892, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10893, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10894, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10895, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10896, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10897, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10898, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10900, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10901, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10903,2,B, ,No, , , , , ,I never intended to take Calculus II., , , , , , , , , , ,I am not taking any other math courses because I have too many other classes to take and the only other math class that I need is Stats. The teacher was good and the tutoring was great! I had taken Calculus in high school so I was also familiar with the subject.
2,34,34,10904, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10906, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10907, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10909, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10910, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10911, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10913, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10914, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10915, , , , , , , , , , , , , , , , , , , , , 
2,34,34,10916, , , , , , , , , , , , , , , , , , , , , 
2,34, ,15580, , , , , , , , , , , , , , , , , , , , , 
2,34, ,15581, , , , , , , , , , , , , , , , , , , , , 
2,34, ,15582, , , , , , , , , , , , , , , , , , , , , 
2,34, ,15583, , , , , , , , , , , , , , , , , , , , , 
2,34, ,15584,15,A,Yes, ,A, , , , , , , , , , , ,Agree, , , ,AP Course in high school - daily classes with short assignments every day. Practice tests were helpful preparation for the exam. Teacher was available for discussion of tests and material after school most days.
2,34, ,15586,4,B, ,No, , , , , ,I never intended to take Calculus II.,"To do well in Calculus II, I would need to spend more time and effort than I can afford.", , , , , , , , , ,There was plenty of support to help in learning of class and it presented a good challenge but it was also a little dry.
2,34, ,15590, , , , , , , , , , , , , , , , , , , , , 
2,34, ,15591, , , , , , , , , , , , , , , , , , , , , 
2,34, ,15592, , , , , , , , , , , , , , , , , , , , , 
2,34, ,15593,5,B,Yes, , , ,C, , , , , , , , , , ,Disagree, , , 
2,34, ,15594, , , , , , , , , , , , , , , , , , , , , 
2,34, ,15597, , , , , , , , , , , , , , , , , , , , , 
2,34, ,15598, , , , , , , , , , , , , , , , , , , , , 
2,34, ,15599,11,C, ,No, , , , , , ,"To do well in Calculus II, I would need to spend more time and effort than I can afford.", , , ,My experience in Calculus I made me decide not to take calculus II., , , ,Strongly Disagree, ,"I do not like the fact that the material was presented using one set of terminology and then the books and tests sounded nothing like that. Also, I despise the homework system because it didn't always work. If you know it doesn't always work right, why make all homework assignments to be done through a faulty online program?"
2, ,34,21463, , , , , , , , , , , , , , , , , , , , , 
2, ,34,21466, , , , , , , , , , , , , , , , , , , , , 
2, ,34,21467, , , , , , , , , , , , , , , , , , , , , 
2, ,34,21468, , , , , , , , , , , , , , , , , , , , , 
2, ,34,21469, , , , , , , , , , , , , , , , , , , , , 
2, ,34,21470, , , , , , , , , , , , , , , , , , , , , 
2, ,34,21471, , , , , , , , , , , , , , , , , , , , , 
2, ,34,21472, , , , , , , , , , , , , , , , , , , , , 
2, ,34,21474, , , , , , , , , , , , , , , , , , , , , 
2, ,34,21476, , , , , , , , , , , , , , , , , , , , , 
2,34, ,23397, , , , , , , , , , , , , , , , , , , , , 
2,34, ,23398, , , , , , , , , , , , , , , , , , , , , 
2, ,34,24488, , , , , , , , , , , , , , , , , , , , , 
2, ,34,24489, , , , , , , , , , , , , , , , , , , , , 
2, ,34,24490, , , , , , , , , , , , , , , , , , , , , 
2, ,34,24491, , , , , , , , , , , , , , , , , , , , , 
1,35,35,11815, , , , , , , , , , , , , , , , , , , , , 
1,35,35,11816, , , , , , , , , , , , , , , , , , , , , 
1,35,35,11817, , , , , , , , , , , , , , , , , , , , , 
1,35,35,11818, , , , , , , , , , , , , , , , , , , , , 
1,35,35,11819, , , , , , , , , , , , , , , , , , , , , 
1,35,35,11820, , , , , , , , , , , , , , , , , , , , , 
1,35, ,17500, , , , , , , , , , , , , , , , , , , , , 
1,35, ,17501, , , , , , , , , , , , , , , , , , , , , 
1,35, ,17502, , , , , , , , , , , , , , , , , , , , , 
1,35, ,17503, , , , , , , , , , , , , , , , , , , , , 
1,35, ,17504, , , , , , , , , , , , , , , , , , , , , 
1,35, ,17505, , , , , , , , , , , , , , , , , , , , , 
1,35, ,17506, , , , , , , , , , , , , , , , , , , , , 
1,35, ,17507, , , , , , , , , , , , , , , , , , , , , 
1,35, ,17508, , , , , , , , , , , , , , , , , , , , , 
1, ,35,21956, , , , , , , , , , , , , , , , , , , , , 
1,35, ,23672, , , , , , , , , , , , , , , , , , , , , 
2,36,36,11159, , , , , , , , , , , , , , , , , , , , , 
2,36,36,11160, , , , , , , , , , , , , , , , , , , , , 
2,36,36,11161, , , , , , , , , , , , , , , , , , , , , 
2,36, ,16227, , , , , , , , , , , , , , , , , , , , , 
2,36, ,16228, , , , , , , , , , , , , , , , , , , , , 
2,36, ,16232, , , , , , , , , , , , , , , , , , , , , 
2,36, ,16233, , , , , , , , , , , , , , , , , , , , , 
2,36, ,16234, , , , , , , , , , , , , , , , , , , , , 
2,36, ,16235, , , , , , , , , , , , , , , , , , , , , 
2,36, ,16236, , , , , , , , , , , , , , , , , , , , , 
2,36, ,23514, , , , , , , , , , , , , , , , , , , , , 
2,37, ,16229, , , , , , , , , , , , , , , , , , , , , 
2,37, ,16230, , , , , , , , , , , , , , , , , , , , , 
2,37, ,16231, , , , , , , , , , , , , , , , , , , , , 
3,39,39,13556, , , , , , , , , , , , , , , , , , , , , 
3,39,39,13557, , , , , , , , , , , , , , , , , , , , , 
3,39,39,13558, , , , , , , , , , , , , , , , , , , , , 
3,39,39,13559, , , , , , , , , , , , , , , , , , , , , 
3,39,39,13560, , , , , , , , , , , , , , , , , , , , , 
3,39,39,13561, , , , , , , , , , , , , , , , , , , , , 
3,39, ,20791, , , , , , , , , , , , , , , , , , , , , 
3,39, ,20793, , , , , , , , , , , , , , , , , , , , , 
3,39, ,20794, , , , , , , , , , , , , , , , , , , , , 
3,39, ,20795,1,B,Yes, ,A, , , , , , , , , , , ,Agree, , , ,"The online math program took way too much time. I was like having another class in conjunction with the math class. It made it very difficult for me to complete assignments for other courses and as a result, lowered my initiative to take another math class."
3,39, ,20796, , , , , , , , , , , , , , , , , , , , , 
3,39, ,20798, , , , , , , , , , , , , , , , , , , , , 
3, ,39,23015, , , , , , , , , , , , , , , , , , , , , 
3, ,39,23016, , , , , , , , , , , , , , , , , , , , , 
3, ,39,23017, , , , , , , , , , , , , , , , , , , , , 
3, ,39,23018, , , , , , , , , , , , , , , , , , , , , 
3, ,39,23019, , , , , , , , , , , , , , , , , , , , , 
3, ,39,23020, , , , , , , , , , , , , , , , , , , , , 
3, ,39,23021,11,C, ,No, , , , , ,I never intended to take Calculus II., , , , , , , , , , ,Calculus II is unnecessary for the completion of my major.
3, ,39,23022, , , , , , , , , , , , , , , , , , , , , 
3, ,39,23023,12,B, ,No, , , , , , ,"To do well in Calculus II, I would need to spend more time and effort than I can afford.", , , , , , , , , ,"Loved the teacher, best class I will never have to take again"
3, ,39,23024, , , , , , , , , , , , , , , , , , , , , 
3, ,39,23025, , , , , , , , , , , , , , , , , , , , , 
3, ,39,23026, , , , , , , , , , , , , , , , , , , , , 
3, ,39,23027, , , , , , , , , , , , , , , , , , , , , 
3, ,39,23028, , , , , , , , , , , , , , , , , , , , , 
3, ,39,23029, , , , , , , , , , , , , , , , , , , , , 
3, ,39,25126, , , , , , , , , , , , , , , , , , , , , 
3, ,39,25127, , , , , , , , , , , , , , , , , , , , , 
3, ,39,25128, , , , , , , , , , , , , , , , , , , , , 
3, ,39,25129, , , , , , , , , , , , , , , , , , , , , 
3, ,39,25130, , , , , , , , , , , , , , , , , , , , , 
3,42, ,20792,1,A,Yes, , ,B, , , , , , , , , , , ,Disagree, , ,My teacher was very helpful and useful to every student. She was fair in grading and assessments. She allowed me to easily pass through without struggle.
3,42, ,20797, , , , , , , , , , , , , , , , , , , , , 
2,45,45,10058, , , , , , , , , , , , , , , , , , , , , 
2,45,45,10059, , , , , , , , , , , , , , , , , , , , , 
2,45,45,10060, , , , , , , , , , , , , , , , , , , , , 
2,45,45,10061, , , , , , , , , , , , , , , , , , , , , 
2,45,45,10062, , , , , , , , , , , , , , , , , , , , , 
2,45, ,13775, , , , , , , , , , , , , , , , , , , , , 
2,45, ,13776, , , , , , , , , , , , , , , , , , , , , 
2,45, ,13782, , , , , , , , , , , , , , , , , , , , , 
2,45, ,13783, , , , , , , , , , , , , , , , , , , , , 
2,45, ,13786, , , , , , , , , , , , , , , , , , , , , 
2,46,46,10056, , , , , , , , , , , , , , , , , , , , , 
2,46,46,10057, , , , , , , , , , , , , , , , , , , , , 
2,46, ,13777, , , , , , , , , , , , , , , , , , , , , 
2,46, ,13778, , , , , , , , , , , , , , , , , , , , , 
2,46, ,13779, , , , , , , , , , , , , , , , , , , , , 
2,46, ,13780, , , , , , , , , , , , , , , , , , , , , 
2,46, ,13781, , , , , , , , , , , , , , , , , , , , , 
2,46, ,13784, , , , , , , , , , , , , , , , , , , , , 
2,46, ,13785, , , , , , , , , , , , , , , , , , , , , 
2,46, ,13787, , , , , , , , , , , , , , , , , , , , , 
2,46, ,13788, , , , , , , , , , , , , , , , , , , , , 
2, ,46,21065, , , , , , , , , , , , , , , , , , , , , 
2,46, ,23130, , , , , , , , , , , , , , , , , , , , , 
2,46, ,23131, , , , , , , , , , , , , , , , , , , , , 
2, ,46,24289, , , , , , , , , , , , , , , , , , , , , 
2, ,46,24290, , , , , , , , , , , , , , , , , , , , , 
5,49,49,10065, , , , , , , , , , , , , , , , , , , , , 
5,49,49,10066, , , , , , , , , , , , , , , , , , , , , 
5,49,49,10067, , , , , , , , , , , , , , , , , , , , , 
5,49,49,10068, , , , , , , , , , , , , , , , , , , , , 
5,49,49,10069, , , , , , , , , , , , , , , , , , , , , 
5,49,49,10070, , , , , , , , , , , , , , , , , , , , , 
5,49,49,10071, , , , , , , , , , , , , , , , , , , , , 
5,49,49,10072, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13803, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13804, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13811, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13816, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13817, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13818, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13821, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13823, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13828, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13832, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13837, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13838, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13839, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13847, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13848, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13850, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13860, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13861, , , , , , , , , , , , , , , , , , , , , 
5,49, ,13862, , , , , , , , , , , , , , , , , , , , , 
5, ,49,21066, , , , , , , , , , , , , , , , , , , , , 
5,49, ,23132, , , , , , , , , , , , , , , , , , , , , 
5,49, ,23133, , , , , , , , , , , , , , , , , , , , , 
5, ,49,24291, , , , , , , , , , , , , , , , , , , , , 
5, ,49,24292, , , , , , , , , , , , , , , , , , , , , 
5,50, ,13802, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13799, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13800, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13801, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13805, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13806, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13807, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13808, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13809, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13810, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13812, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13813, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13814, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13815, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13819, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13820, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13822, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13824, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13825, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13826, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13827, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13829, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13830, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13831, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13833, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13834, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13835, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13836, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13840, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13841, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13842, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13843, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13844, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13845, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13846, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13849, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13851, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13852, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13853, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13854, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13855, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13856, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13857, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13858, , , , , , , , , , , , , , , , , , , , , 
5,51, ,13859, , , , , , , , , , , , , , , , , , , , , 
5,51, ,23134, , , , , , , , , , , , , , , , , , , , , 
5,51, ,23135, , , , , , , , , , , , , , , , , , , , , 
5,51, ,23136, , , , , , , , , , , , , , , , , , , , , 
5,51, ,23137, , , , , , , , , , , , , , , , , , , , , 
5,51, ,23138, , , , , , , , , , , , , , , , , , , , , 
5,51, ,23139, , , , , , , , , , , , , , , , , , , , , 
3,53, ,14649, , , , , , , , , , , , , , , , , , , , , 
3,53, ,14650, , , , , , , , , , , , , , , , , , , , , 
3,53, ,14653, , , , , , , , , , , , , , , , , , , , , 
3,53, ,14654, , , , , , , , , , , , , , , , , , , , , 
3,53, ,14655, , , , , , , , , , , , , , , , , , , , , 
3,53, ,14656, , , , , , , , , , , , , , , , , , , , , 
3,53, ,14657, , , , , , , , , , , , , , , , , , , , , 
3,53, ,14658, , , , , , , , , , , , , , , , , , , , , 
3,53, ,14659, , , , , , , , , , , , , , , , , , , , , 
3,53, ,14660, , , , , , , , , , , , , , , , , , , , , 
3,53, ,14661, , , , , , , , , , , , , , , , , , , , , 
3,53, ,14662, , , , , , , , , , , , , , , , , , , , , 
3,53, ,14663, , , , , , , , , , , , , , , , , , , , , 
3,53, ,23236, , , , , , , , , , , , , , , , , , , , , 
3,53, ,23237, , , , , , , , , , , , , , , , , , , , , 
3,53, ,23238, , , , , , , , , , , , , , , , , , , , , 
3,53, ,23239, , , , , , , , , , , , , , , , , , , , , 
3,53, ,23240, , , , , , , , , , , , , , , , , , , , , 
3,53, ,23241, , , , , , , , , , , , , , , , , , , , , 
3,53, ,23242, , , , , , , , , , , , , , , , , , , , , 
3,53, ,23243, , , , , , , , , , , , , , , , , , , , , 
3,53, ,23244, , , , , , , , , , , , , , , , , , , , , 
3,53, ,23245, , , , , , , , , , , , , , , , , , , , , 
3,56,56,10396, , , , , , , , , , , , , , , , , , , , , 
3,56, ,14652, , , , , , , , , , , , , , , , , , , , , 
3, ,56,21186, , , , , , , , , , , , , , , , , , , , , 
3, ,56,21187, , , , , , , , , , , , , , , , , , , , , 
3,56, ,23246, , , , , , , , , , , , , , , , , , , , , 
3, ,56,24365, , , , , , , , , , , , , , , , , , , , , 
3,59, ,14651, , , , , , , , , , , , , , , , , , , , , 
1,62,62,10063, , , , , , , , , , , , , , , , , , , , , 
1,62,62,10064, , , , , , , , , , , , , , , , , , , , , 
1,62, ,13789, , , , , , , , , , , , , , , , , , , , , 
1,62, ,13790, , , , , , , , , , , , , , , , , , , , , 
1,62, ,13791, , , , , , , , , , , , , , , , , , , , , 
1,62, ,13792, , , , , , , , , , , , , , , , , , , , , 
1,62, ,13793, , , , , , , , , , , , , , , , , , , , , 
1,62, ,13794, , , , , , , , , , , , , , , , , , , , , 
1,62, ,13795, , , , , , , , , , , , , , , , , , , , , 
1,62, ,13796, , , , , , , , , , , , , , , , , , , , , 
1,62, ,13797, , , , , , , , , , , , , , , , , , , , , 
1,62, ,13798, , , , , , , , , , , , , , , , , , , , , 
4,67, ,19010, , , , , , , , , , , , , , , , , , , , , 
4,67, ,19012, , , , , , , , , , , , , , , , , , , , , 
4,67, ,19017, , , , , , , , , , , , , , , , , , , , , 
4,67, ,19019, , , , , , , , , , , , , , , , , , , , , 
4,67, ,19050, , , , , , , , , , , , , , , , , , , , , 
4,67, ,23941, , , , , , , , , , , , , , , , , , , , , 
4,67, ,23942, , , , , , , , , , , , , , , , , , , , , 
4,69,69,12705, , , , , , , , , , , , , , , , , , , , , 
4,69,69,12709,7,B,Yes, , , ,C, , , , , , , , , , ,Disagree, , , 
4,69,69,12710, , , , , , , , , , , , , , , , , , , , , 
4,69,69,12716, , , , , , , , , , , , , , , , , , , , , 
4,69,69,12720, , , , , , , , , , , , , , , , , , , , , 
4,69,69,12724, , , , , , , , , , , , , , , , , , , , , 
4,69,69,12728, , , , , , , , , , , , , , , , , , , , , 
4,69,69,12729,6,A,Yes, ,A, , , , , , , , , , , , , , ,Strongly Agree,"My teacher was extremely enthusiastic, and taught calculus in theory and in practice very clearly."
4,69, ,19013,7,A, ,No, , , , , , , , , , , , , , , , , 
4,69, ,19018, , , , , , , , , , , , , , , , , , , , , 
4,69, ,19023, , , , , , , , , , , , , , , , , , , , , 
4,69, ,19033, , , , , , , , , , , , , , , , , , , , , 
4,69, ,19047, , , , , , , , , , , , , , , , , , , , , 
4,69, ,19058, , , , , , , , , , , , , , , , , , , , , 
4,69, ,19059, , , , , , , , , , , , , , , , , , , , , 
4,69, ,19061, , , , , , , , , , , , , , , , , , , , , 
4,69, ,19076, , , , , , , , , , , , , , , , , , , , , 
4, ,69,22545, , , , , , , , , , , , , , , , , , , , , 
4,69, ,23943, , , , , , , , , , , , , , , , , , , , , 
4,69, ,23944, , , , , , , , , , , , , , , , , , , , , 
4,69, ,23945, , , , , , , , , , , , , , , , , , , , , 
4, ,69,24901, , , , , , , , , , , , , , , , , , , , , 
4,71,71,12702, , , , , , , , , , , , , , , , , , , , , 
4,71,71,12703, , , , , , , , , , , , , , , , , , , , , 
4,71,71,12704, , , , , , , , , , , , , , , , , , , , , 
4,71,71,12713, , , , , , , , , , , , , , , , , , , , , 
4,71,71,12714,12,C,Yes, , ,B, , , , , , , , , , ,Agree, , , ,"Teaching was harsh, but there was plenty I could've done to make an A in the class.  I simply didn't feel motivated to do much of anything in Calc 1."
4,71,71,12715, , , , , , , , , , , , , , , , , , , , , 
4,71,71,12721, , , , , , , , , , , , , , , , , , , , , 
4,71,71,12725, , , , , , , , , , , , , , , , , , , , , 
4,71,71,12730,7,C,Yes, , , ,C, , , , , , , , , , ,Disagree, , ,i thought it was rather difficult.  Thats why it didnt increase my desire to continue studying mathematics
4,71,71,12731, , , , , , , , , , , , , , , , , , , , , 
4,71, ,19020, , , , , , , , , , , , , , , , , , , , , 
4,71, ,19041, , , , , , , , , , , , , , , , , , , , , 
4,71, ,19048, , , , , , , , , , , , , , , , , , , , , 
4,71, ,19049, , , , , , , , , , , , , , , , , , , , , 
4,71, ,19053, , , , , , , , , , , , , , , , , , , , , 
4,71, ,19054, , , , , , , , , , , , , , , , , , , , , 
4,71, ,19057, , , , , , , , , , , , , , , , , , , , , 
4,71, ,19060,16,F, ,No, , , , , ,I never intended to take Calculus II.,"To do well in Calculus II, I would need to spend more time and effort than I can afford.",My grade in Calculus I was not good enough for me to continue to Calculus II.,I do not believe I understand the ideas of Calculus I well enough to take Calculus II., ,My experience in Calculus I made me decide not to take calculus II., , , , , ,course was too difficult for my understanding of mathematics
4,71, ,19062, , , , , , , , , , , , , , , , , , , , , 
4,71, ,19064, , , , , , , , , , , , , , , , , , , , , 
4,71, ,19067, , , , , , , , , , , , , , , , , , , , , 
4,71, ,19071, , , , , , , , , , , , , , , , , , , , , 
4,71, ,19084, , , , , , , , , , , , , , , , , , , , , 
4,71, ,19086, , , , , , , , , , , , , , , , , , , , , 
4, ,71,22541, , , , , , , , , , , , , , , , , , , , , 
4, ,71,22543, , , , , , , , , , , , , , , , , , , , , 
4, ,71,22546, , , , , , , , , , , , , , , , , , , , , 
4,71, ,23946, , , , , , , , , , , , , , , , , , , , , 
4, ,71,24902, , , , , , , , , , , , , , , , , , , , , 
4,72,72,12701, , , , , , , , , , , , , , , , , , , , , 
4,72,72,12706, , , , , , , , , , , , , , , , , , , , , 
4,72,72,12707, , , , , , , , , , , , , , , , , , , , , 
4,72,72,12708, , , , , , , , , , , , , , , , , , , , , 
4,72,72,12711,7,C, ,No, , , , , ,I never intended to take Calculus II.,"To do well in Calculus II, I would need to spend more time and effort than I can afford.", , ,I changed my major and now do not need to take Calculus II., , , ,Disagree, , ,I had an excellent instructor for calculus I. She explained things in a way that I could understand. I strongly dislike math and honestly struggled in calc1. I do not wish to take any other math classes. I changed my major because of math and the future math classes I would've had to take.
4,72,72,12712, , , , , , , , , , , , , , , , , , , , , 
4,72,72,12717, , , , , , , , , , , , , , , , , , , , , 
4,72,72,12719, , , , , , , , , , , , , , , , , , , , , 
4,72,72,12722, , , , , , , , , , , , , , , , , , , , , 
4,72,72,12723, , , , , , , , , , , , , , , , , , , , , 
4,72,72,12727, , , , , , , , , , , , , , , , , , , , , 
4,72, ,19014, , , , , , , , , , , , , , , , , , , , , 
4,72, ,19028, , , , , , , , , , , , , , , , , , , , , 
4,72, ,19031, , , , , , , , , , , , , , , , , , , , , 
4,72, ,19034, , , , , , , , , , , , , , , , , , , , , 
4,72, ,19035, , , , , , , , , , , , , , , , , , , , , 
4,72, ,19045, , , , , , , , , , , , , , , , , , , , , 
4,72, ,19068, , , , , , , , , , , , , , , , , , , , , 
4,72, ,19069, , , , , , , , , , , , , , , , , , , , , 
4,72, ,19072, , , , , , , , , , , , , , , , , , , , , 
4,72, ,19077, , , , , , , , , , , , , , , , , , , , , 
4,72, ,19081, , , , , , , , , , , , , , , , , , , , , 
4, ,72,22538, , , , , , , , , , , , , , , , , , , , , 
4, ,72,22539,4,D, ,No, , , , , , ,"To do well in Calculus II, I would need to spend more time and effort than I can afford.", , , , , , , , , ,"Calculus is very complex, and sometimes the teachers do not explain things very well. There is so much homework to keep up with, and it takes hours every day to do it. There are so many rules and equations to learn. It is really a lot of material to cover in just one semester."
4, ,72,22540, , , , , , , , , , , , , , , , , , , , , 
