"Q26","Q5Post","Student_ID","Q3Post","Q48","Intstr_Gender","Institution_ID","Calc_Grade","Instr_Age","Instr_Prep_Calc","Stud_Work","Stud_Extra","Instr_Withdraw","Instr_Fail","Instr_Pass","Q18Post_AskedQs","Q18Post_Listened","Q18Post_Applications","Q18Post_Time","Q18Post_ProblemSolver","Q18Post_Explanations","Q18Post_Appointments","Q18Post_Discouraged"
4,4,10599,4,2,1,19,NA,34,13,3,18,5,15,80,6,6,6,6,6,6,6,7
4,4,10622,4,3,1,19,NA,34,3,3,3,5,15,80,4,2,2,2,4,5,2,3
3,1,15145,1,2,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,10612,4,3,0,19,NA,32,0,0,0,15,20,65,2,2,2,2,2,2,2,2
4,4,10618,4,2,0,19,NA,60,8,8,13,10,10,80,4,4,4,4,5,5,4,4
4,4,10626,3,3,0,19,NA,32,3,35,25.5,15,20,65,3,4,5,5,7,3,2,2
2,1,15155,1,3,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,2,10605,4,2,0,19,NA,32,3,0,25.5,15,20,65,2,2,2,2,4,2,6,4
2,1,15148,1,3,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,4,10625,4,2,0,19,NA,32,8,8,3,15,20,65,3,2,4,7,6,3,6,4
4,4,10603,4,3,0,19,NA,32,3,8,0,15,20,65,6,6,6,6,6,6,6,7
4,1,15165,1,2,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,15149,1,2,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,4,10628,4,3,0,19,NA,32,8,0,13,15,20,65,4,6,4,5,4,2,6,5
4,1,15156,1,3,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,3,10627,2,2,0,19,3,60,35,0,13,10,10,80,2,6,2,5,4,2,6,3
2,4,10629,4,2,0,19,2.67,60,8,0,18,10,10,80,4,4,4,4,4,4,4,5
3,1,15146,1,3,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,2,10630,2,2,1,19,1.67,34,8,0,35,5,15,80,2,6,6,6,6,6,6,7
3,4,10604,3,2,0,19,NA,32,35,13,8,15,20,65,6,6,6,6,6,6,6,3
4,1,15157,1,2,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,3,10600,2,2,0,19,NA,60,3,0,0,10,10,80,2,2,2,4,4,2,2,7
4,4,10610,4,3,0,19,NA,32,3,0,3,15,20,65,2,2,2,4,2,2,4,7
2,1,15161,1,3,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,2,10602,3,2,0,19,NA,60,18,8,3,10,10,80,4,5,3,7,7,3,4,7
4,3,10616,3,2,0,19,NA,60,3,18,0,10,10,80,2,4,2,2,2,2,6,5
4,4,10620,4,2,0,19,NA,60,8,0,3,10,10,80,4,4,4,4,4,4,4,4
4,4,10623,4,2,0,19,NA,60,3,18,0,10,10,80,5,3,2,4,5,3,4,4
2,1,15167,1,3,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,15166,1,3,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,2,10624,4,2,0,19,NA,60,8,0,18,10,10,80,2,2,6,4,4,3,2,5
4,1,15158,1,2,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,3,10619,3,3,0,19,NA,32,8,13,0,15,20,65,4,4,4,4,4,4,2,5
4,1,15151,1,3,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,3,10614,3,3,0,19,NA,60,8,0,13,10,10,80,5,5,4,2,5,3,4,5
2,2,10615,4,2,1,19,NA,34,3,0,18,5,15,80,4,4,5,5,5,5,2,3
2,1,10613,2,2,0,19,NA,32,3,8,3,15,20,65,4,4,4,4,4,4,4,4
4,1,15150,1,3,0,19,NA,32,NA,NA,NA,15,20,65,1,1,1,1,1,1,1,1
2,1,15159,1,3,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,3,10607,3,2,0,19,NA,60,3,0,13,10,10,80,2,3,2,7,7,5,2,6
2,2,10608,2,2,1,19,NA,34,3,0,8,5,15,80,6,6,2,2,2,2,6,7
2,3,10611,3,2,0,19,NA,60,25.5,0,3,10,10,80,2,2,4,5,4,4,2,5
4,2,10617,4,3,0,19,4,32,NA,0,3,15,20,65,4,4,4,4,4,4,4,4
2,3,10621,3,2,0,19,NA,32,8,8,3,15,20,65,2,2,3,5,4,4,6,3
2,4,10601,3,3,0,19,NA,32,3,8,18,15,20,65,2,6,6,6,4,2,6,7
4,4,10606,4,3,1,19,1.33,34,3,18,3,5,15,80,6,2,2,2,4,2,1,5
2,1,15152,1,3,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,3,10609,3,2,0,19,NA,60,8,3,18,10,10,80,7,7,7,7,7,7,5,7
4,1,15163,1,3,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,15160,1,2,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,15153,1,2,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,15147,1,3,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
1,4,21354,4,1,0,19,NA,32,3,3,13,15,20,65,5,4,6,2,3,5,6,4
1,1,23326,1,1,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
1,1,23327,1,1,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
1,1,23328,1,1,0,19,NA,60,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
1,4,24440,4,1,0,19,NA,60,NA,NA,NA,10,10,80,2,2,6,2,2,6,6,7
1,4,24441,4,1,0,19,NA,32,NA,NA,NA,15,20,65,3,2,4,3,6,3,6,4
3,1,17070,1,3,1,35,NA,67,NA,NA,NA,15,0,85,1,1,1,1,1,1,1,1
3,1,17079,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17078,1,3,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,17106,1,3,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17094,1,1,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,17121,1,3,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17082,1,1,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17086,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17087,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17103,1,3,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,17085,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17119,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,17089,1,3,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17107,1,3,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17088,1,3,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,17095,1,3,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,17075,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17081,1,3,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17102,1,2,1,35,NA,67,NA,NA,NA,15,0,85,1,1,1,1,1,1,1,1
4,1,17072,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,17112,1,3,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17084,1,3,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17090,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17097,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,17096,1,3,1,35,NA,67,NA,NA,NA,15,0,85,1,1,1,1,1,1,1,1
2,1,17083,1,3,1,35,NA,67,NA,NA,NA,15,0,85,1,1,1,1,1,1,1,1
2,1,17111,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,17076,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,17100,1,1,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17113,1,3,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,17108,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17092,1,2,1,35,NA,67,NA,NA,NA,15,0,85,1,1,1,1,1,1,1,1
3,1,17104,1,2,1,35,NA,67,NA,NA,NA,15,0,85,1,1,1,1,1,1,1,1
2,1,17116,1,3,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,17071,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,17091,1,3,1,35,NA,67,NA,NA,NA,15,0,85,1,1,1,1,1,1,1,1
3,1,17093,1,2,1,35,NA,67,NA,NA,NA,15,0,85,1,1,1,1,1,1,1,1
3,1,17105,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,17117,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,17118,1,3,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17101,1,3,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,17099,1,2,1,35,NA,67,NA,NA,NA,15,0,85,1,1,1,1,1,1,1,1
3,1,17077,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17098,1,2,1,35,NA,67,NA,NA,NA,15,0,85,1,1,1,1,1,1,1,1
3,1,17080,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,17073,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17115,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
3,1,17120,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
2,1,17074,1,2,1,35,NA,67,NA,NA,NA,15,0,85,1,1,1,1,1,1,1,1
2,1,17114,1,2,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,17109,1,3,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,1,17110,1,2,1,35,NA,67,NA,NA,NA,15,0,85,1,1,1,1,1,1,1,1
1,1,23623,1,1,1,35,NA,67,NA,NA,NA,15,0,85,1,1,1,1,1,1,1,1
1,1,23624,1,1,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
1,1,23625,1,1,1,35,NA,39,NA,NA,NA,10,10,80,1,1,1,1,1,1,1,1
4,4,10584,4,2,1,11,4,30,8,8,18,0,17,83,2,2,2,2,6,6,6,7
1,4,21340,4,1,1,11,1,30,3,0,18,0,17,83,6,6,6,4,2,4,6,7
1,3,21341,3,1,1,11,4,30,3,25.5,13,0,17,83,6,6,6,6,6,6,6,7
2,1,13758,1,2,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
2,2,10023,2,2,0,18,NA,38,3,3,3,0,4,96,6,2,2,2,6,6,6,7
4,4,10024,4,3,0,18,NA,32,8,3,13,0,10,90,6,6,6,6,6,6,6,7
4,1,13759,1,3,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
3,3,10025,3,2,1,18,NA,62,3,18,8,5,5,90,4,6,2,6,2,2,6,7
4,1,13760,1,3,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
2,1,13761,1,2,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
2,4,10026,4,3,0,18,NA,32,3,0,25.5,0,10,90,2,2,2,2,2,2,2,3
2,1,13762,1,3,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
4,1,13763,1,3,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
4,4,10027,4,3,0,18,NA,32,8,3,8,0,10,90,4,6,2,2,2,6,6,7
4,1,13764,1,3,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
2,2,10028,4,3,0,18,NA,32,3,3,3,0,10,90,2,2,2,2,4,2,6,7
2,3,10029,3,2,0,18,NA,32,8,3,8,0,10,90,4,2,3,3,5,1,2,5
2,2,10030,2,3,0,18,NA,32,3,0,25.5,0,10,90,4,2,5,2,2,2,6,3
4,4,10031,4,2,0,18,NA,38,8,8,8,0,4,96,6,6,2,2,2,6,6,3
2,2,10032,4,3,0,18,NA,32,13,0,13,0,10,90,4,6,6,6,6,2,6,7
4,4,10033,4,2,0,18,NA,38,3,0,13,0,4,96,2,6,2,6,6,6,6,7
4,2,10034,2,2,1,18,NA,62,NA,NA,NA,5,5,90,2,4,5,2,5,4,2,5
4,3,10035,3,2,0,18,NA,32,3,0,18,0,10,90,4,2,5,5,5,5,6,4
2,1,13765,1,3,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
3,1,13766,1,2,0,18,NA,32,NA,NA,NA,0,10,90,1,1,1,1,1,1,1,1
4,1,13767,1,3,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
2,1,13768,1,2,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
2,3,10036,2,3,0,18,NA,32,8,0,18,0,10,90,2,2,4,4,2,2,6,3
4,4,10037,4,3,0,18,NA,38,8,8,8,0,4,96,2,6,6,6,6,6,2,7
4,2,10038,3,3,1,18,NA,62,8,0,25.5,5,5,90,6,6,6,2,6,6,6,7
2,2,10039,4,2,0,18,NA,32,8,3,3,0,10,90,2,6,2,2,6,6,6,7
2,1,13769,1,2,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
4,2,10040,2,3,0,18,NA,38,3,0,13,0,4,96,4,4,5,4,2,4,6,7
4,4,10041,4,2,0,18,NA,32,3,0,13,0,10,90,4,2,2,6,2,2,6,7
2,2,10042,2,2,0,18,NA,38,3,3,18,0,4,96,6,6,6,2,6,6,6,7
3,3,10043,3,3,0,18,NA,38,3,0,18,0,4,96,2,6,3,5,4,6,6,7
4,1,13770,1,2,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
4,1,13771,1,3,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
4,4,10044,4,2,1,18,NA,62,3,0,18,5,5,90,6,6,2,4,6,6,6,7
4,2,10045,4,3,0,18,NA,38,3,0,8,0,4,96,2,6,2,6,6,6,6,7
4,1,13772,1,2,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
2,1,13773,1,3,0,18,NA,32,NA,NA,NA,0,10,90,1,1,1,1,1,1,1,1
4,3,10046,4,2,0,18,NA,38,8,0,3,0,4,96,5,6,2,3,4,2,6,3
2,4,10047,2,2,0,18,NA,38,8,0,25.5,0,4,96,2,6,2,2,6,6,6,7
2,3,10048,3,3,0,18,NA,32,3,0,18,0,10,90,2,2,2,2,2,2,2,3
4,2,10049,2,3,0,18,NA,32,3,0,3,0,10,90,4,2,2,2,4,4,2,3
4,4,10050,4,3,0,18,NA,32,8,0,8,0,10,90,2,6,2,2,2,2,6,3
2,2,10051,2,2,0,18,NA,32,3,0,8,0,10,90,2,2,2,2,2,2,2,3
2,3,10052,3,2,1,18,NA,62,3,8,3,5,5,90,2,2,2,3,2,2,2,3
4,4,10053,4,2,0,18,NA,32,13,8,13,0,10,90,2,6,2,2,2,2,6,7
4,1,13774,1,3,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
2,2,10054,3,2,0,18,NA,32,8,0,3,0,10,90,4,4,4,4,4,4,4,4
4,2,10055,4,2,0,18,NA,38,8,0,3,0,4,96,2,6,6,6,6,6,2,7
1,4,21054,4,1,0,18,NA,38,3,8,8,0,4,96,6,6,6,6,6,6,2,6
1,2,21055,2,1,0,18,NA,38,3,3,3,0,4,96,6,6,6,6,6,6,6,6
1,4,21056,4,1,0,18,NA,38,3,8,13,0,4,96,2,4,4,3,4,5,2,3
1,2,21057,2,1,1,18,NA,62,8,0,25.5,5,5,90,2,2,6,4,4,4,6,5
1,2,21058,3,1,0,18,NA,38,3,0,18,0,4,96,6,2,2,2,2,2,2,3
1,2,21059,2,1,0,18,NA,38,3,0,18,0,4,96,2,2,6,2,2,2,6,2
1,2,21060,4,1,1,18,NA,62,3,0,3,5,5,90,6,6,6,6,6,6,6,7
1,2,21061,3,1,1,18,NA,62,3,0,3,5,5,90,5,2,5,4,4,5,4,7
1,3,21062,2,1,0,18,NA,38,8,0,8,0,4,96,5,6,6,5,4,2,6,7
1,4,21063,4,1,0,18,NA,38,8,3,3,0,4,96,2,2,2,2,2,2,4,7
1,1,23124,1,1,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
1,1,23125,1,1,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
4,1,23126,1,1,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
4,1,23127,1,1,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
1,1,23128,1,1,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
1,1,23129,1,1,0,18,NA,32,NA,NA,NA,0,10,90,1,1,1,1,1,1,1,1
1,3,24283,3,1,1,18,NA,62,NA,NA,NA,5,5,90,1,1,1,1,1,1,1,1
1,4,24284,3,1,1,18,NA,62,NA,NA,NA,5,5,90,2,6,6,6,6,6,6,7
1,4,24285,4,1,1,18,NA,62,NA,NA,NA,5,5,90,2,6,6,6,2,6,6,7
1,2,24286,2,1,0,18,NA,38,NA,NA,NA,0,4,96,1,1,1,1,1,1,1,1
1,2,24287,2,1,0,18,NA,38,NA,NA,NA,0,4,96,1,1,1,1,1,1,1,1
1,3,24288,3,1,0,18,NA,32,NA,NA,NA,0,10,90,1,1,1,1,1,1,1,1
4,1,13593,4,3,1,5,4,48,13,3,18,5,10,85,2,6,6,6,6,6,6,7
4,1,13589,4,2,1,5,3,37,18,0,0,3,12,85,6,6,6,6,6,6,6,7
4,1,20830,1,3,1,5,NA,37,NA,NA,NA,3,12,85,1,1,1,1,1,1,1,1
4,4,13587,4,3,1,5,NA,37,3,18,13,3,12,85,2,2,2,2,4,2,6,3
4,4,13588,4,3,1,5,NA,37,13,0,0,3,12,85,6,6,6,6,6,6,6,7
4,4,13599,4,3,1,5,4,37,3,25.5,3,3,12,85,6,6,6,6,6,6,2,7
4,1,20833,1,3,1,5,NA,37,NA,NA,NA,3,12,85,1,1,1,1,1,1,1,1
4,4,13595,4,3,1,5,4,37,13,13,0,3,12,85,2,2,2,2,2,2,2,3
4,1,13590,4,3,1,5,2,37,8,0,3,3,12,85,4,6,2,2,6,6,6,7
2,1,20844,1,3,1,5,NA,48,NA,NA,NA,5,10,85,1,1,1,1,1,1,1,1
4,1,20841,1,3,1,5,NA,37,NA,NA,NA,3,12,85,1,1,1,1,1,1,1,1
4,4,13586,4,3,1,5,NA,37,8,18,3,3,12,85,2,2,2,2,4,2,6,3
2,3,13585,4,2,1,5,NA,37,3,8,13,3,12,85,2,6,6,6,6,6,6,3
3,3,13600,3,3,1,5,NA,48,NA,NA,NA,5,10,85,6,6,6,5,4,2,2,7
4,1,13598,4,3,1,5,3.67,37,3,3,13,3,12,85,2,2,2,2,6,6,6,7
4,1,20831,1,3,1,5,NA,48,NA,NA,NA,5,10,85,1,1,1,1,1,1,1,1
4,1,20836,1,3,1,5,NA,48,NA,NA,NA,5,10,85,1,1,1,1,1,1,1,1
4,1,20842,1,2,1,5,NA,37,NA,NA,NA,3,12,85,1,1,1,1,1,1,1,1
2,1,20840,1,2,1,5,NA,48,NA,NA,NA,5,10,85,1,1,1,1,1,1,1,1
4,1,20832,1,3,1,5,NA,37,NA,NA,NA,3,12,85,1,1,1,1,1,1,1,1
2,1,20839,1,3,1,5,NA,37,NA,NA,NA,3,12,85,1,1,1,1,1,1,1,1
